Coding,Description,tag_name,[2003] EWCA Crim 3 (Charis),[2003] EWCA Crim 3 (Vili),[2003] EWCA Crim 2243 (Charis),[2003] EWCA Crim 2243 (Vili),[2004] EWCA Crim 2278 (Charis),[2004] EWCA Crim 2278 (Vili),[2005] EWCA Crim 1983 (Charis),[2005] EWCA Crim 1983 (Vili),[2006] EWCA Crim 694 (Charis),[2006] EWCA Crim 694 (Vili),[2006] EWCA Crim 1155 (Charis),[2006] EWCA Crim 1155 (Vili),[2007] EWCA Crim 1530 (Charis),[2007] EWCA Crim 1530 (Vili),[2008] EWCA Crim 553 (Charis),[2008] EWCA Crim 553 (Vili),[2009] EWCA Crim 1431 (Charis),[2009] EWCA Crim 1431 (Vili),[2010] EWCA Crim 712 (Charis),[2010] EWCA Crim 712 (Vili),[2012] EWCA Crim 720 (Charis),[2012] EWCA Crim 720 (Vili),[2013] EWCA Crim 801 (Charis),[2013] EWCA Crim 801 (Vili),[2013] EWCA Crim 1649 (Charis),[2013] EWCA Crim 1649 (Vili),[2016] EWCA Crim 52 (Charis),[2016] EWCA Crim 52 (Vili),[2017] EWCA Crim 1851 (Charis),[2017] EWCA Crim 1851 (Vili),[2018] EWCA Crim 1766 (Charis),[2018] EWCA Crim 1766 (Vili),[2019] EWCA Crim 362 (Charis),[2019] EWCA Crim 362 (Vili),[2020] EWCA Crim 499 (Charis),[2020] EWCA Crim 499 (Vili),[2022] EWCA Crim 83 (Charis),[2022] EWCA Crim 83 (Vili),[2023] EWCA Crim 231 (Charis),[2023] EWCA Crim 231 (Vili)
,,RemandCustodyTime,NA,,NA,NA,Don't know,,NA,,Don't know,,Don't know,,Don't know,,Don't know,,"Exact: 390 days;

Comment: ",,Don't know,,Don't know,,Don't know,,Don't know,Don't know,Don't know,,Don't know,,NA,,Don't know,Don't know,NA,NA,NA,,Don't know,
SentCourtType Court Type where Offender was Sentenced,Magistrates’ court/Crown court,SentCourtType,NA,Don't know,"Exact: Crown Court;

Comment: ","Exact: Crown Court at Basildon;

Comment: Crown Court","Exact: Crown Court at Reading;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Teeside;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: ",,"Exact: Crown Court;

Comment: ;

Exact: Central Criminal Court;

Comment: Crown Court","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Guildford;

Comment: ","Exact: magistrates' court;

Comment: ","Exact: Crown Court at Grimsby;

Comment: ","Exact: Crown Court;

Comment: Crown Court",Don't know,,"Exact: Milton Keynes Crown Court in July and August 2011.;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Central Criminal Court;

Comment: Crown",,"Exact: Crown Court sitting in Manchester.;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Cardiff Crown Court;

Comment: ","Exact: Crown Court;

Comment: ",Don't know,"Exact: Crown Court;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court;

Comment: ","Exact: committed for sentence by the magistrates' court;

Comment: ","Exact: entence by the magistrates' court;

Comment: Magistrates Court","Exact: Crown Court at Truro;

Comment: ","Exact: Crown Court at Truro;

Comment: Crown Court","Exact: 16 January 2020 in the Crown Court at Chelmsford;

Comment: ","Exact: Crown Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court;

Comment: "
SentCourtName Court Name where Offender Sentenced,Text,SentCourtName,NA,Don't know,"Exact: Crown Court at Basildon;

Comment: ","Exact: Crown Court at Basildon;

Comment: Crown Court","Exact: Crown Court at Reading;

Comment: ",,Don't know,"Exact: Crown Court at Teeside;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ",,"Exact: Birmingham Crown Court;

Comment: ;

Exact: Central Criminal Court;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Guildford;

Comment: ",,"Exact: Crown Court at Grimsby;

Comment: ","Exact: Crown Court at Grimsby;

Comment: Crown Court at Grimsby",Don't know,,"Exact: Milton Keynes Crown Court in July and August 2011.;

Comment: ","Exact: Milton Keynes Crown Court;

Comment: ",,,"Exact: Crown Court sitting in Manchester.;

Comment: ","Exact: Crown Court sitting in Manchester;

Comment: Manchester Crown Court","Exact: Cardiff Crown Court;

Comment: ","Exact: Cardiff Crown Court;

Comment: ",Don't know,"Exact: Crown Court at Warwick;

Comment: ","Exact: Bristol;

Comment: ","Exact: Crown Court at Bristol;

Comment: ",Don't know,,"Exact: Crown Court at Truro;

Comment: ","Exact: Crown Court at Truro;

Comment: Crown Court at Truro","Exact: 16 January 2020 in the Crown Court at Chelmsford;

Comment: ","Exact: Crown Court at Chelmsford;

Comment: ","Exact: Crown Court at Liverpool;

Comment: ","Exact: Crown Court at Liverpool;

Comment: "
"Sentence(s) Received
If MORE than one sentence, then how are they to be served? SentServe","Text (List sentence for each offence)
If MORE than one sentence, are they all concurrent/all consecutive/combination of consecutive and concurrent",Sentence,NA,Don't know,"Exact: this appeal is allowed and a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court.;

Comment: ","Exact: a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court;

Comment: fine of £60,000","Exact: six counts of unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994 and were sentenced to four months' imprisonment on each count concurrently.;

Comment: ","Exact: sentenced to four months' imprisonment on each count concurrently;

Comment: ","Exact: He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment.;

Comment: Sentence for L;

Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years.;

Comment: Sentence for S","Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years;

Comment: ;

Exact: He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment;

Comment: ","Exact: 15 months' imprisonment.;

Comment: ","Exact: 15 months' imprisonment;

Comment: ",Don't know,Don't know,"Exact: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months;

Comment: ","Exact: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months;

Comment: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months","Exact: principle of totality,;

Comment: ;

Exact: The total sentence, therefore, was one of 18 months' imprisonment (sic).;

Comment: Offence1: four months imprisonment Offence2&3: two months imprisonment. concurrent on each, but consecutive to the other sentences. Offence4&5: no seperate penalites save for an endorsement of licence. Offence6, 7, 8 & 9: sentences of six months' imprisonment (sic) concurrent inter se, but consecutive to the other sentences. Offence10 & 11: six months' imprisonment (sic) concurrent inter se, but otherwise consecutive. Offence12&13: endorsement of licence;

Exact: 13 offences;

Comment: 1 - domestic burglary","Exact: six months' imprisonment;

Comment: ;

Exact: six months' imprisonment;

Comment: ;

Exact: two months' imprisonment;

Comment: ;

Exact: four months' imprisonment;

Comment: ","Exact: a total of 7 years and 3 months' imprisonment, with a direction under the Criminal Justice Act 2003 that 390 days he had spent on remand should count;

Comment: 2 counts served consecutively.",,Don't know,,"Exact: the judge imposed a sentence of imprisonment for public protection, with a minimum term of 7 years less time spent in custody on remand. He imposed various shorter determinate sentences in respect of the other counts;

Comment: (Sentence received after retrial)","Exact: with a minimum term of 7 years;

Comment: minimum 7 years' imprisonment","Exact: appellant was convicted on count 2. On 8 June 2012 he was sentenced to life imprisonment, with a minimum term of 23 years.;

Comment: ",,"Exact: imprisonment for public protection (IPP) with a minimum specified term of five years on Counts 9 and 10, concurrent, with no separate penalty on Count 8.;

Comment: ;

Exact: imprisonment for life with a specified minimum term of nine years on Count 1, to imprisonment for life with a specified minimum term of seven years on Counts 3. 6 and 7 and to a term of four years’ imprisonment on Count 4. The sentences were concurrent.;

Comment: ;

Exact: six years’ imprisonment on Count 1, three years’ imprisonment on Count 2 and four years’ imprisonment on Count 5. The sentences were concurrent.;

Comment: ","Exact: imprisonment for public protection (IPP) with a minimum specified term of five years;

Comment: ;

Exact: four years’ imprisonment;

Comment: ;

Exact: three years’ imprisonment;

Comment: ;

Exact: six years’ imprisonment;

Comment: ;

Exact: four years’ imprisonment;

Comment: ;

Exact: imprisonment for life with a specified minimum term of seven years;

Comment: ;

Exact: imprisonment for life with a specified minimum term of nine years;

Comment: ","Exact: Charlton to imprisonment for life with a minimum tariff of 15 years and ordered Ali to be detained at Her Majesty’s Pleasure.;

Comment: Before appeals & retrials;

Exact: He was sentenced to 6 years imprisonment and having served the equivalent term was released.;

Comment: After appeals & retrials","Exact: detained at Her Majesty’s Pleasure.;

Comment: ;

Exact: imprisonment for life with a minimum tariff of 15 years;

Comment: ","Exact: 5 years' imprisonment.;

Comment: ","Exact: 5 years' imprisonment;

Comment: ","Exact: we consider that the least sentence that should have been passed was a term of seven-and-a-half years and the sentence passed on count 1 was unduly lenient. Accordingly, we grant leave to the Solicitor General, we quash the sentence five years and four months and substitute a term of seven-and-a-half years on count 1. The sentence on count 2 will remain unaffected.;

Comment: New sentence terms.","Exact: five years and four months' imprisonment;

Comment: five years and four months' imprisonment","Exact: Detention in a young offender institution for a total period of six years two months was imposed, together with other orders, including disqualification from driving for seven years and one month.;

Comment: ","Exact: Detention in a young offender institution for a total period of six years two months was imposed;

Comment: ","Exact: fined £500.;

Comment: ","Exact: He was fined £500.;

Comment: Fine","Exact: 59 months' imprisonment;

Comment: ","Exact: total sentence of 59 months' imprisonment, concurrent sentences of equal length;

Comment: 59 months' imprisonment","Exact: life imprisonment with a minimum term of 19 years (less time spent on remand).;

Comment: ","Exact: life imprisonment with a minimum term of 19 years;

Comment: life imprisonment with a minimum term of 19 years"
,,SentServe,NA,,NA,NA,"Exact: six counts of unauthorised use of trade marks contrary to sections 92(1) and 104(1) of the Trade Marks Act 1994 and were sentenced to four months' imprisonment on each count concurrently.;

Comment: ","Exact: sentenced to four months' imprisonment on each count concurrently;

Comment: Concurrent","Exact: He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment.;

Comment: Sentence for L;

Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years.;

Comment: Sentence for S","Exact: He too pleaded not guilty to conspiracy to rape but was convicted of it on 18 February 2005. He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment;

Comment: All concurrent;

Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years.;

Comment: All concurrent","Exact: 15 months' imprisonment.;

Comment: ",,Don't know,,"Exact: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months;

Comment: ",,"Exact: The total sentence, therefore, was one of 18 months' imprisonment (sic).;

Comment: Offence1: four months imprisonment Offence2&3: two months imprisonment. concurrent on each, but consecutive to the other sentences. Offence4&5: no seperate penalites save for an endorsement of licence. Offence6, 7, 8 & 9: sentences of six months' imprisonment (sic) concurrent inter se, but consecutive to the other sentences. Offence10 & 11: six months' imprisonment (sic) concurrent inter se, but otherwise consecutive. Offence12&13: endorsement of licence","Exact: concurrent on each, but consecutive to the other sentences;

Comment: Combination of consecutive and concurrent","Exact: a total of 7 years and 3 months' imprisonment, with a direction under the Criminal Justice Act 2003 that 390 days he had spent on remand should count;

Comment: 2 counts served consecutively.","Exact: that the sentences should be concurrent rather than consecutive;

Comment: Consecutive",Don't know,,"Exact: the judge imposed a sentence of imprisonment for public protection, with a minimum term of 7 years less time spent in custody on remand. He imposed various shorter determinate sentences in respect of the other counts;

Comment: (Sentence received after retrial)",,NA,,"Exact: imprisonment for public protection (IPP) with a minimum specified term of five years on Counts 9 and 10, concurrent, with no separate penalty on Count 8.;

Comment: ;

Exact: imprisonment for life with a specified minimum term of nine years on Count 1, to imprisonment for life with a specified minimum term of seven years on Counts 3. 6 and 7 and to a term of four years’ imprisonment on Count 4. The sentences were concurrent.;

Comment: ;

Exact: six years’ imprisonment on Count 1, three years’ imprisonment on Count 2 and four years’ imprisonment on Count 5. The sentences were concurrent.;

Comment: ","Exact: concurrent;

Comment: ;

Exact: concurrent;

Comment: ;

Exact: concurrent;

Comment: ","Exact: Charlton to imprisonment for life with a minimum tariff of 15 years and ordered Ali to be detained at Her Majesty’s Pleasure.;

Comment: Before appeals & retrials;

Exact: He was sentenced to 6 years imprisonment and having served the equivalent term was released.;

Comment: After appeals & retrials",,"Exact: 5 years' imprisonment.;

Comment: ",,,"Exact: concurrent;

Comment: Concurrent","Exact: Detention in a young offender institution for a total period of six years two months was imposed, together with other orders, including disqualification from driving for seven years and one month.;

Comment: ","Exact: concurrent;

Comment: concurrent;

Exact: consecutively;

Comment: consecutively;

Exact: concurrently;

Comment: concurrent",,,"Exact: concurrent sentences of equal length being imposed on two counts of being concerned in the supply of class A drugs, contrary to section 4(3)(b) of the Misuse of Drugs Act 1971.;

Comment: ","Exact: total sentence of 59 months' imprisonment, concurrent sentences of equal length being imposed on two counts of being concerned in the supply of class A drugs;

Comment: two concurrent sentences",NA,
"Ancillary Orders Applied
If YES, which orders? WhatAncilliary","Yes/No/Don’t know
If YES, list all",Ancillary,NA,Don't know,NA,NA,"Exact: it would be appropriate to make an order that the appellants pay the costs of the prosecution today in the sum of £1,250 which will be divided equally between the two appellants.;

Comment: Compensation orders",,No,Don't know,Don't know,Don't know,Don't know,Don't know,No,,"Exact: disqualified from driving;

Comment: ",,,Don't know,Don't know,,No,N/A,No,,No,,No,Don't know,No,No,NA,Don't know,"Exact: Detention in a young offender institution for a total period of six years two months was imposed, together with other orders, including disqualification from driving for seven years and one month.;

Comment: ",,NA,No,No,Don't know,No,Don't know
,,WhatAncilliary,NA,,NA,NA,,"Exact: relation to him and the money he can spend;

Comment: ;

Exact: £1.8 million confiscation order that has been made against him;

Comment: £1.8 million confiscation order",NA,,Don't know,,Don't know,,NA,,,,,,NA,,NA,,NA,,NA,"Exact: They were also made subject to the notification requirements of the Counter Terrorism Act 2008;

Comment: Made subject to the notification requirements of the Counter Terrorism Act 2008",NA,,NA,,NA,,,"Exact: disqualification from driving for seven years and one month;

Comment: disqualification from driving for seven years and one month",NA,,NA,,NA,
OffSex Offender(s) Gender,All Male/All Female/Male&Female,OffSex,NA,All Male,NA,NA,"Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

Comment: 2 individual male offenders","Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

Comment: All Male","Exact: two men, S and L, were being prosecuted for offences contrary to section 1 of the Protection of Children Act 1978 and for conspiracy to rape.;

Comment: 2 individual male offenders","Exact: two men;

Comment: All men","Exact: ZANE ROY AINSCOUGH;

Comment: Male offender","Exact: ZANE ROY AINSCOUGH;

Comment: All Male","Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

Comment: Offenders in Ellis Appeal;

Exact: Rodrigo Simms;

Comment: Offender in Ellis Appeal","Exact: Marcus Ellis, Michael Gregory and Nathan Martin were convicted of two counts of murder and three counts of attempt murder, and Rodrigo Simms;

Comment: All Male;

Exact: Iain Davis;

Comment: All Male","Exact: him;

Comment: ","Exact: offender and remonstrated with him;

Comment: All Male","Exact: JAMES  IAN  McNEILL;

Comment: 1 individual male offender","Exact: JAMES  IAN  McNEILL;

Comment: All Male","Exact: NATHAN LUKE WORRELL;

Comment: Offender",All Male,"Exact: PAVLOS GEORGIOU KAZANTZIS;

Comment: Individual male offender","Exact: PAVLOS GEORGIOU KAZANTZIS;

Comment: All Male","Exact: PF;

Comment: 1 individual male offender","Exact: he;

Comment: All Male","Exact: ABDUL  JABBAR;

Comment: ","Exact: The appellant and his brother;

Comment: All Male","Exact: Munir Ahmed Farooqi

Comment: 3 individual male. Offenders","Exact: Farooqi, Matthew Newton, Israr Malik and Harris Farooqi (Farooqi’s son);

Comment: All Male","Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: 2 individual male appellents, offenders",,"Exact: DANIEL  GLEN  HAY;

Comment: 1 individual male offender","Exact: DANIEL  GLEN  HAY;

Comment: All Male","Exact: offender, James Llewhellin;

Comment: ","Exact: James Llewhellin;

Comment: All Male",,,"Exact: NICHOLAS WARNER;

Comment: ","Exact: He;

Comment: All male","Exact: RHYS MORAR;

Comment: Offender","Exact: RHYS MORAR;

Comment: All Male","Exact: RUBEN  THOMAS  PATRICK  HOATHER;

Comment: ",All Male
OffAgeOffence Offenders(s) Age at Time of Offence,Numeric,OffAgeOffence,NA,Don't know,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,N/A,Don't know,Don't know,"Exact: offender was 36 at the time;

Comment: ","Exact: offender was 36 at the time of the offence;

Comment: 36 years old","Exact: under the age of 21:;

Comment: 18-21","Exact: 18 years;

Comment: 18","Exact: appellant was born on 27th March 1973.;

Comment: 38 years old.","Exact: 27th March 1973;

Comment: 35 years old","Exact: the appellant, then aged 19 years and 11 months;

Comment: ","Exact: then aged 19 years and 11 months;

Comment: 19",Don't know,Don't know,Don't know,Don't know,"Exact: Malik’s age (20 at the time;

Comment: ",Don't know,"Exact: Ali was 16 and Charlton 21 years of age.;

Comment: ","Exact: 21;

Comment: 21;

Exact: 16;

Comment: 16",Don't know,Don't know,NA,Don't know,"Exact: appellant was aged 18.;

Comment: ","Exact: At the time of these offences in October and November 2017 the appellant was aged 18;

Comment: 18","Exact: aged 53,;

Comment: -","Exact: aged 53;

Comment: 53",Don't know,Don't know,Don't know,Don't know
OffAgeConvSen Offenders(s) Age at Time of Conviction/Sentence,Numeric,OffAgeConvSen,NA,Don't know,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,N/A,Don't know,Don't know,Don't know,"Exact: being 36 years of age;

Comment: 36","Exact: appellant is 19 years of age.;

Comment: ","Exact: 19 years of age;

Comment: 19","Exact: appellant was born on 27th March 1973.;

Comment: 38 years old.",,Don't know,N/A,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,-,Don't know,Don't know,NA,Don't know,Don't know,Don't know,NA,"Exact: aged 53;

Comment: 53",Don't know,Don't know,Don't know,Don't know
OffJobOffence Offender(s) Employment Status at Time of Offence,Employed/Unemployed/Student/Retired/Other/Don’t know,OffJobOffence,NA,Don't know,NA,NA,"Exact: The appellants traded together under the name Bionic Records.;

Comment: Trading","Exact: self-employed;

Comment: Self-employed",Don't know,Don't know,Don't know,N/A,Don't know,Don't know,"Exact: needed help with motivation to find employment.;

Comment: Unemployed","Exact: needed help with motivation to find employment;

Comment: Unemployed","Exact: work entailed being mainly in the outbuilding;

Comment: Employed",Don't know,Don't Know,Don't know,"Exact: student at Hull University.;

Comment: ","Exact: student;

Comment: Student","Exact: ran a coach company;

Comment: ","Exact: ran a coach company;

Comment: Employed",Don't know,Don't know,"Exact: Farooqi ran a Da’wah stall in Manchester promoting Islamic material.;

Comment: ",Don't know,"Exact: worked as a doorman.;

Comment: ","Exact: doorman;

Comment: Employed","Exact: He worked full-time as an electrician.;

Comment: ","Exact: He worked full-time as an electrician;

Comment: Employed",NA,Don't know,Don't know,Don't know,"Exact: Jehovah's Witness.;

Comment: ","Exact: elder or religious minister in a Congregation of Jehovah's Witnesses in Cornwall;

Comment: Other",Don't know,Don't know,Don't know,Don't know
OffRelsOffence Offender(s) Relationship Status at Time of Offence,Single/Married/Relationship/Don’t know,OffRelsOffence,NA,Don't know,NA,NA,Don't know,Don't know,"Exact: S and his wife;

Comment: ",Don't know,Don't know,N/A,"Exact: Gregory’s girlfriend,;

Comment: Ellis Appeal;

Exact: Martin’s girlfriend;

Comment: Ellis Appeal","Exact: girlfriend;

Comment: Relationship;

Exact: new girlfriend;

Comment: Relationship",Don't know,"Exact: he has no current partner;

Comment: Single",Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,"Exact: applicant was also in loco parentis towards SJ for some years while he was living with SJ's mother.;

Comment: Fixed address",Don't know,,"Exact: Fiza Asif (Arshad's wife;

Comment: Married",Don't know,Don't know,Don't know,-,"Exact: appellant's girlfriend;

Comment: ","Exact: girlfriend;

Comment: Relationship",,,Don't know,Don't know,NA,Don't know,Don't know,Don't know,Don't know,Don't know
OffDependsOffence Offender(s) Dependant Status at Time of Offence,Had children/Did not have children/Don’t know,OffDependsOffence,NA,Don't know,NA,NA,Don't know,Don't know,"Exact: S took such photographs of his 11 year-old daughter;

Comment: Had children","Exact: daughter;

Comment: Had children",Don't know,N/A,Don't know,Don't know,"Exact: He has a daughter aged 13;

Comment: ","Exact: daughter aged 13;

Comment: Had children",Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,"Exact: applicant was also in loco parentis towards SJ for some years while he was living with SJ's mother.;

Comment: Fixed address",Don't know,Don't know,,Don't know,"Exact: In this judgment we shall refer to him by his full name to distinguish him from his father;

Comment: Had children",Don't know,-,Don't know,Don't know,"Exact: offender's two sons,;

Comment: Had children.","Exact: offender's two sons;

Comment: Had children",Don't know,Don't know,NA,Don't know,Don't know,Don't know,Don't know,Don't know
OffHomeOffence Offender(s) Accommodation Status at Time of Offence,Had fixed address/Homeless/Temporary accommodation/Don’t know,OffHomeOffence,NA,Don't know,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,N/A,"Exact: Gregory’s flat.;

Comment: Ellis Appeal",Don't know,"Exact: the offender as living alone in a flat rented from the local authority;

Comment: ","Exact: living alone in a flat rented from the local authority;

Comment: Had fixed address",Don't know,Don't know,"Exact: one bedroomed flat on a council estate;

Comment: ","Exact: one bedroomed flat on a council estate;

Comment: Fixed address","Exact: appellant's flat.;

Comment: ",Don't know,Don't know,Don't know,"Exact: address in Palmerston Road, Walthamstow;

Comment: Fixed address","Exact: The appellant and Arshad lived at an address in Palmerston Road,;

Comment: Fixed address",Don't know,Don't know,"Exact: 29 Fitzhamon Embankment, Cardiff;

Comment: ",-,"Exact: found at the appellant's home.;

Comment: Fixed address","Exact: home;

Comment: Fixed address","Exact: flat on Hillside Road;

Comment: Has fixed address.","Exact: flat;

Comment: Fixed address",Don't know,Don't know,NA,Don't know,Don't know,Don't know,Don't know,Don't know
OffMentalOffence Offender(s) Mental Health at Time of Offence,Had mental health problems/Has learning difficulties/Other/Don’t know,OffMentalOffence,NA,Don't know,NA,NA,Don't know,Don't know,Don't know,Don't know,Don't know,N/A,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,"Exact: psychological evidence. The defence called a consultant psychologist, Miss Jennifer Cutler, who carried out an assessment of the appellant and found him to have Asperger's Syndrome.;

Comment: ",Don't know,Don't know,Don't know,Don't know,Married,Don't know,Don't know,"Exact: (both consultant psychologists) as to Ali’s intellectual capacity. He suffers from a borderline mental handicap;

Comment: ",-,Don't know,Don't know,"Exact: He spoke of suffering from depression, stress and anxiety.;

Comment: -","Exact: suffering from depression, stress and anxiety. He had previously been prescribed anti-depressants.;

Comment: Had mental health problems","Exact: Chartered Forensic Psychologist, which diagnosed a learning disability with an IQ of less than 70, and the report of an intermediary. 16.The pre-sentence report referred to the appellant's emotional, behavioural and social difficulties and vulnerability;

Comment: Expert evidence","Exact: learning disability with an IQ of less than 70,;

Comment: ",NA,Don't know,Don't know,Don't know,"Exact: long history of mental health complaints and treatment by local mental health services.;

Comment: Other (history of MH)",Don't know
OffIntoxOffence Was Offender Intoxicated at Time of Offence?,Yes-drinking/Yes-drugs/Yes-drinking&drugs/No/Don’t know,OffIntoxOffence,NA,Don't know,NA,NA,Don't know,Don't know,Don't know,Don't know,"Exact: he had had one pint of lager;

Comment: ","Exact: The appellant's account was that he had had one pint of lager;

Comment: Yes - drinking",Don't know,Don't know,"Exact: the offender seemed quite drunk;

Comment: ","Exact: Binge drinking on this occasion disinhibited his behaviour;

Comment: Yes - drinking;

Exact: offender seemed quite drunk;

Comment: Yes - drinking",Don't know,Don't know,Don't Know,Don't know,"Exact: Both the appellant and L had been drinking heavily.;

Comment: ","Exact: drinking;

Comment: Yes - drinking",Don't know,Don't know,Don't know,Married,Don't know,Don't know,"Exact: an account of glue-sniffing, drug-taking;

Comment: ",-,Don't know,Don't know,"Exact: Both adults had been drinking alcohol.;

Comment: ","Exact: Both adults had been drinking alcohol;

Comment: Yes - drinking","Exact: and had used drugs;;

Comment: ",Don't know,NO,Don't know,Don't know,Don't know,"Exact: alcohol, cannabis and cocaine were consumed.;

Comment: ","Exact: which alcohol, cannabis and cocaine were consumed;

Comment: Yes - drinking & drugs"
OffVicRelation Offender-Victim Relationship,Stranger/Relative/Acquaintance,OffVicRelation,NA,Don't know,"Exact: member of the public.;

Comment: ",NA,NA,N/A,"Exact: daughter;

Comment: relative","Exact: daughter;

Comment: Relative","Exact: came in and sat by him.;

Comment: Unacquainted / stranger","Exact: an alleged history of ill-will between the complainant and the appellant;

Comment: Acquaintance","Exact: Martin’s brother Yohanne, was shot dead.;

Comment: Ellis Appeal;

Exact: econd death was “accidental”;

Comment: Stranger. Davis Appeal.;

Exact: short-lived grudge.;

Comment: Acquaintance. Davis Appeal.",,"Exact: The offender, whom they both knew,;

Comment: Acquainted","Exact: whom they both knew;

Comment: Acquaintance","Exact: son of a friend of hers.;

Comment: Victim1: acquainted;

Exact: his mother's handbag £20;

Comment: Victim2: relative","Exact: The appellant assaulted the police officer with intent to resist arrest by picking up a trowel which was in the garage and hitting the officer in the face with it (offenc;

Comment: Stranger;

Exact: On 8 September 2007 the appellant attempted a burglary at 33 Potter's Crescent, Ash. He did not manage to complete that offence because he was heard damaging the patio doors which he had forced open at the rear;

Comment: Stranger;

Exact: mother's;

Comment: Relative;

Exact: who is a son of a friend of hers;

Comment: Acquaintance","Exact: lived on the same estate;

Comment: Neighbours / Strangers","Exact: They lived on the same estate as the appellant;

Comment: Neighbours","Exact: met a young woman;

Comment: Stranger","Exact: here the appellant met a young woman called L;

Comment: Stranger","Exact: applicant was also in loco parentis towards SJ for some years while he was living with SJ's mother.;

Comment: Fixed address;

Exact: the boys whom the applicant employed were SJ, JC and CS.;

Comment: Employed in coach company","Exact: employed a number of teenage boys;

Comment: Acquaintance","Exact: Fiza Asif (Arshad's wife).;

Comment: 1 individual victim, relative","Exact: Arshad's wife;

Comment: Relative",Don't know,Don't know,"Exact: Ali knew Karen Price from a school that they attended;

Comment: ","Exact: Charlton asked her and KP;

Comment: Acquaintance","Exact: threatened a security guard;

Comment: 1 individual male victim, stranger;

Exact: attacked the shopkeeper;

Comment: 1 individual male victim, stranger","Exact: post office many times;

Comment: Acquaintance",,"Exact: ""K"" and the victim of the assault by beating was her seven-year-old daughter ""L"". K had been living with the offender s;

Comment: Relative",NA,N/A,NA,NA,Don't know,N/A,"Exact: Jordan Campbell was the applicant's half-brother.;

Comment: 1 individual victim","Exact: half-brother;

Comment: Relative"
