Coding,Description,tag_name,[2003] EWCA Crim 3,[2003] EWCA Crim 2243,[2004] EWCA Crim 2278,[2005] EWCA Crim 1983,[2006] EWCA Crim 2916,[2006] EWCA Crim 694,[2006] EWCA Crim 1155,[2007] EWCA Crim 1530,[2008] EWCA Crim 553,[2009] EWCA Crim 1431,[2010] EWCA Crim 712,[2012] EWCA Crim 720,[2013] EWCA Crim 801,[2013] EWCA Crim 1649,[2016] EWCA Crim 52,[2017] EWCA Crim 1851,[2018] EWCA Crim 1766,[2019] EWCA Crim 362,[2020] EWCA Crim 499,[2022] EWCA Crim 83,[2023] EWCA Crim 231
,,RemandCustodyTime,NA,NA,Don't know,NA,,Don't know,Don't know,Don't know,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,NA,NA,Don't know
SentCourtType Court Type where Offender was Sentenced,Magistrates’ court/Crown court,SentCourtType,NA,"Exact: Crown Court at Basildon;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ",,"Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: 

Exact: Central Criminal Court;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: magistrates' court;

 Comment: ","Exact: Crown Court;

 Comment: Crown Court",Don't know,"Exact: Crown Court;

 Comment: ",,"Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Don't know

Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: ","Exact: entence by the magistrates' court;

 Comment: Magistrates Court","Exact: Crown Court at Truro;

 Comment: Crown Court","Exact: Crown Court;

 Comment: ","Exact: Crown Court;

 Comment: "
SentCourtName Court Name where Offender Sentenced,Text,SentCourtName,NA,"Exact: Crown Court at Basildon;

 Comment: Crown Court",,"Don't know

Exact: Crown Court at Teeside;

 Comment: ",,"Exact: Crown Court at Liverpool;

 Comment: ","Exact: Birmingham Crown Court;

 Comment: 

Exact: Central Criminal Court;

 Comment: ","Exact: Crown Court at Liverpool;

 Comment: ",,"Exact: Crown Court at Grimsby;

 Comment: Crown Court at Grimsby",Don't know,"Exact: Milton Keynes Crown Court;

 Comment: ",,"Exact: Crown Court sitting in Manchester;

 Comment: Manchester Crown Court","Exact: Cardiff Crown Court;

 Comment: ","Don't know

Exact: Crown Court at Warwick;

 Comment: ","Exact: Crown Court at Bristol;

 Comment: ",Don't know,"NA

Exact: Crown Court at Truro;

 Comment: Crown Court at Truro","Exact: Crown Court at Chelmsford;

 Comment: ","Exact: Crown Court at Liverpool;

 Comment: "
"Sentence(s) Received
If MORE than one sentence, then how are they to be served? SentServe","Text (List sentence for each offence)
If MORE than one sentence, are they all concurrent/all consecutive/combination of consecutive and concurrent",Sentence,NA,"Exact: a fine of £60,000 will be substituted for the fine of £200,000 imposed in the Crown Court;

 Comment: fine of £60,000","Exact: sentenced to four months' imprisonment on each count concurrently;

 Comment: ","Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years;

 Comment: 

Exact: He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment;

 Comment: ",,"Exact: 15 months' imprisonment;

 Comment: ",Don't know,"Exact: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months;

 Comment: 8 months' imprisonment, suspended for 18 months, with a suspension period of 18 months","Exact: six months' imprisonment;

 Comment: 

Exact: six months' imprisonment;

 Comment: 

Exact: two months' imprisonment;

 Comment: 

Exact: four months' imprisonment;

 Comment: ",,Don't know,"Exact: with a minimum term of 7 years;

 Comment: minimum 7 years' imprisonment",,"Exact: imprisonment for public protection (IPP) with a minimum specified term of five years;

 Comment: 

Exact: four years’ imprisonment;

 Comment: 

Exact: three years’ imprisonment;

 Comment: 

Exact: six years’ imprisonment;

 Comment: 

Exact: four years’ imprisonment;

 Comment: 

Exact: imprisonment for life with a specified minimum term of seven years;

 Comment: 

Exact: imprisonment for life with a specified minimum term of nine years;

 Comment: ","Exact: detained at Her Majesty’s Pleasure.;

 Comment: 

Exact: imprisonment for life with a minimum tariff of 15 years;

 Comment: ","Exact: 5 years' imprisonment;

 Comment: ","Exact: five years and four months' imprisonment;

 Comment: five years and four months' imprisonment","Exact: Detention in a young offender institution for a total period of six years two months was imposed;

 Comment: ","Exact: He was fined £500.;

 Comment: Fine","Exact: total sentence of 59 months' imprisonment, concurrent sentences of equal length;

 Comment: 59 months' imprisonment","Exact: life imprisonment with a minimum term of 19 years;

 Comment: life imprisonment with a minimum term of 19 years"
,,SentServe,NA,NA,"Exact: sentenced to four months' imprisonment on each count concurrently;

 Comment: Concurrent","Exact: He too pleaded not guilty to conspiracy to rape but was convicted of it on 18 February 2005. He was initially sentenced to 12 years’ imprisonment but the sentence was reduced on review to eight years’ imprisonment;

 Comment: All concurrent

Exact: He was sentenced to a total of 14 years’ imprisonment on that day but on 4 March 2005 the Recorder reviewed the sentence and reduced it to one of 10 years.;

 Comment: All concurrent",,,Don't know,,"Exact: concurrent on each, but consecutive to the other sentences;

 Comment: Combination of consecutive and concurrent","Exact: that the sentences should be concurrent rather than consecutive;

 Comment: Consecutive",Don't know,,NA,"Exact: concurrent;

 Comment: 

Exact: concurrent;

 Comment: 

Exact: concurrent;

 Comment: ",,,"Exact: concurrent;

 Comment: Concurrent","Exact: concurrent;

 Comment: concurrent

Exact: consecutively;

 Comment: consecutively 

Exact: concurrently;

 Comment: concurrent",,"Exact: total sentence of 59 months' imprisonment, concurrent sentences of equal length being imposed on two counts of being concerned in the supply of class A drugs;

 Comment: two concurrent sentences",NA
"Ancillary Orders Applied
If YES, which orders? WhatAncilliary","Yes/No/Don’t know
If YES, list all",Ancillary,NA,NA,,No,,Don't know,Don't know,No,,,Don't know,No,No,No,No,No,NA,,NA,No,No
,,WhatAncilliary,NA,NA,"Exact: relation to him and the money he can spend;

 Comment: 

Exact: £1.8 million confiscation order that has been made against him;

 Comment: £1.8 million confiscation order",NA,,Don't know,Don't know,NA,,,NA,NA,NA,"NA

Exact: They were also made subject to the notification requirements of the Counter Terrorism Act 2008;

 Comment: Made subject to the notification requirements of the Counter Terrorism Act 2008",NA,NA,NA,"Exact: disqualification from driving for seven years and one month;

 Comment: disqualification from driving for seven years and one month",NA,NA,NA
OffSex Offender(s) Gender,All Male/All Female/Male&Female,OffSex,NA,NA,"Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

 Comment: All Male","Exact: two men;

 Comment: All men",,"Exact: ZANE ROY AINSCOUGH;

 Comment: All Male","Exact: Marcus Ellis, Michael Gregory and Nathan Martin were convicted of two counts of murder and three counts of attempt murder, and Rodrigo Simms;

 Comment: All Male

Exact: Iain Davis;

 Comment: All Male","Exact: offender and remonstrated with him;

 Comment: All Male","Exact: JAMES  IAN  McNEILL;

 Comment: All Male",,"Exact: PAVLOS GEORGIOU KAZANTZIS;

 Comment: All Male","Exact: he;

 Comment: All Male","Exact: The appellant and his brother;

 Comment: All Male","Exact: Farooqi, Matthew Newton, Israr Malik and Harris Farooqi (Farooqi’s son);

 Comment: All Male",,"Exact: DANIEL  GLEN  HAY;

 Comment: All Male","Exact: James Llewhellin;

 Comment: All Male",,"Exact: He;

 Comment: All male","Exact: RHYS MORAR;

 Comment: All Male",
OffAgeOffence Offenders(s) Age at Time of Offence,Numeric,OffAgeOffence,NA,NA,Don't know,Don't know,,Don't know,Don't know,"Exact: offender was 36 at the time of the offence;

 Comment: 36 years old","Exact: 18 years;

 Comment: 18","Exact: 27th March 1973;

 Comment: 35 years old","Exact: then aged 19 years and 11 months;

 Comment: 19",Don't know,Don't know,,"Exact: 21;

 Comment: 21

Exact: 16;

 Comment: 16",Don't know,NA,"Exact: At the time of these offences in October and November 2017 the appellant was aged 18;

 Comment: 18","Exact: aged 53;

 Comment: 53",Don't know,Don't know
OffAgeConvSen Offenders(s) Age at Time of Conviction/Sentence,Numeric,OffAgeConvSen,NA,NA,Don't know,Don't know,,Don't know,Don't know,"Don't know

Exact: being 36 years of age;

 Comment: 36","Exact: 19 years of age;

 Comment: 19",,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,NA,Don't know,"NA

Exact: aged 53;

 Comment: 53",Don't know,Don't know
OffJobOffence Offender(s) Employment Status at Time of Offence,Employed/Unemployed/Student/Retired/Other/Don’t know,OffJobOffence,NA,NA,"Exact: self-employed;

 Comment: Self-employed",Don't know,,Don't know,Don't know,"Don't know

Exact: needed help with motivation to find employment;

 Comment: Unemployed",,Don't Know,"Exact: student;

 Comment: Student","Exact: ran a coach company;

 Comment: Employed",Don't know,,"Exact: doorman;

 Comment: Employed","Exact: He worked full-time as an electrician;

 Comment: Employed",NA,Don't know,"Exact: elder or religious minister in a Congregation of Jehovah's Witnesses in Cornwall;

 Comment: Other",Don't know,Don't know
OffRelsOffence Offender(s) Relationship Status at Time of Offence,Single/Married/Relationship/Don’t know,OffRelsOffence,NA,NA,Don't know,,,Don't know,"Exact: girlfriend;

 Comment: Relationship

Exact: new girlfriend;

 Comment: Relationship","Don't know

Exact: he has no current partner;

 Comment: Single",Don't know,Don't Know,Don't know,,"Exact: Fiza Asif (Arshad's wife;

 Comment: Married",Don't know,Don't know,"Exact: girlfriend;

 Comment: Relationship",,Don't know,NA,Don't know,Don't know
OffDependsOffence Offender(s) Dependant Status at Time of Offence,Had children/Did not have children/Don’t know,OffDependsOffence,NA,NA,Don't know,"Exact: daughter;

 Comment: Had children",,Don't know,Don't know,"Don't know

Exact: daughter aged 13;

 Comment: Had children",Don't know,Don't Know,Don't know,,Don't know,"Don't know

Exact: In this judgment we shall refer to him by his full name to distinguish him from his father;

 Comment: Had children",Don't know,Don't know,"Exact: offender's two sons;

 Comment: Had children",Don't know,NA,Don't know,Don't know
OffHomeOffence Offender(s) Accommodation Status at Time of Offence,Had fixed address/Homeless/Temporary accommodation/Don’t know,OffHomeOffence,NA,NA,Don't know,Don't know,,Don't know,,"Exact: living alone in a flat rented from the local authority;

 Comment: Had fixed address",Don't know,"Exact: one bedroomed flat on a council estate;

 Comment: Fixed address",,Don't know,"Exact: The appellant and Arshad lived at an address in Palmerston Road,;

 Comment: Fixed address",Don't know,,"Exact: home;

 Comment: Fixed address","Exact: flat;

 Comment: Fixed address",Don't know,NA,Don't know,Don't know
OffMentalOffence Offender(s) Mental Health at Time of Offence,Had mental health problems/Has learning difficulties/Other/Don’t know,OffMentalOffence,NA,NA,Don't know,Don't know,,Don't know,Don't know,Don't know,Don't know,Don't Know,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Exact: suffering from depression, stress and anxiety. He had previously been prescribed anti-depressants.;

 Comment: Had mental health problems","Exact: learning disability with an IQ of less than 70,;

 Comment: ",NA,Don't know,Don't know
OffIntoxOffence Was Offender Intoxicated at Time of Offence?,Yes-drinking/Yes-drugs/Yes-drinking&drugs/No/Don’t know,OffIntoxOffence,NA,NA,Don't know,Don't know,,"Exact: The appellant's account was that he had had one pint of lager;

 Comment: Yes - drinking",Don't know,"Exact: Binge drinking on this occasion disinhibited his behaviour;

 Comment: Yes - drinking

Exact: offender seemed quite drunk;

 Comment: Yes - drinking",Don't know,Don't Know,"Exact: drinking;

 Comment: Yes - drinking",Don't know,Don't know,Don't know,,Don't know,"Exact: Both adults had been drinking alcohol;

 Comment: Yes - drinking",,NO,Don't know,"Exact: which alcohol, cannabis and cocaine were consumed;

 Comment: Yes - drinking & drugs"
OffVicRelation Offender-Victim Relationship,Stranger/Relative/Acquaintance,OffVicRelation,NA,,NA,"Exact: daughter;

 Comment: Relative",,"Exact: an alleged history of ill-will between the complainant and the appellant;

 Comment: Acquaintance ",,"Exact: whom they both knew;

 Comment: Acquaintance","Exact: The appellant assaulted the police officer with intent to resist arrest by picking up a trowel which was in the garage and hitting the officer in the face with it (offenc;

 Comment: Stranger

Exact: On 8 September 2007 the appellant attempted a burglary at 33 Potter's Crescent, Ash. He did not manage to complete that offence because he was heard damaging the patio doors which he had forced open at the rear;

 Comment: Stranger

Exact: mother's;

 Comment: Relative

Exact: who is a son of a friend of hers;

 Comment: Acquaintance","Exact: They lived on the same estate as the appellant;

 Comment: Neighbours ","Exact: here the appellant met a young woman called L;

 Comment: Stranger","Exact: employed a number of teenage boys;

 Comment: Acquaintance","Exact: Arshad's wife;

 Comment: Relative",Don't know,"Exact: Charlton asked her and KP;

 Comment: Acquaintance","Exact: post office many times;

 Comment: Acquaintance","Exact: ""K"" and the victim of the assault by beating was her seven-year-old daughter ""L"". K had been living with the offender s;

 Comment: Relative",NA,NA,Don't know,"Exact: half-brother;

 Comment: Relative"
VictimType,Individual person/Organisation,VictimType,NA,,NA,,,"Exact: The prosecution contended that whilst the complainant had been on the ground the appellant had kicked him in the head. The prosecution case was of a wholly unprovoked attack.;

 Comment: Individual person","Exact: two men, Ashley Kenton and Wayne Mowatt were shot dead;

 Comment: Individual persons

Exact: They included Charlene Ellis, Letisha Shakespeare, Sophie Ellis and Cheryl Shaw. A convoy of vehicles, which included a red Mondeo and a silver Vauxhall, drove to the scene. Shots were fired into the crowd. Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured. A man called Leon Harris, who was sitting in a car further down the alleyway, was shot at close range by a gunman who had alighted from one of the convoy of vehicles.;

 Comment: Individual persons","Exact: Mr Walls;

 Comment: Individual person","Exact: Lynne O'Connell,;

 Comment: Individual","Exact: Mr and Mrs Chowdhery;

 Comment: Individuals","Exact: young woman called;

 Comment: Individual","Exact: SJ, JC and CS;

 Comment: Individual persons","Exact: Fiza Asif (Arshad's wife;

 Comment: Individual person",Don't know,"Exact: Karen Price;

 Comment: Individual person","Exact: shopkeeper;

 Comment: Individual person

Exact: post office in Bishops Itchington was robbed by three men;

 Comment: Organisation","Exact: K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

 Comment: Individual persons",NA,NA,Don't know,"Exact: half-brother;

 Comment: Individual"
VicNum Number of Victims,Numeric,VicNum,NA,NA,NA,"Exact: 11 year-old daughter;

 Comment: 1",,"Exact: The prosecution contended that whilst the complainant had been on the ground the appellant had kicked him in the head;

 Comment: 1","Exact: Sharleen Ellis and Latisha Shakespeare received fatal gunshot wounds. Sophie Ellis and Cheryl Shaw were badly injured. A man called Leon Harris, who was sitting in a car further down the alleyway, was shot at close range by a gunman who had alighted from one of the convoy of vehicles.;

 Comment: 5

Exact: two men, Ashley Kenton and Wayne Mowatt were shot dead;

 Comment: 2","Exact: Mr Walls was awoken by a number of blows to his head;

 Comment: 1",,"Exact: Mr and Mrs Chowdhery;

 Comment: 2",,"Exact: SJ, JC and CS;

 Comment: 3","Exact: Fiza Asif (Arshad's wife);

 Comment: 1",Don't know,"Exact: Karen Price;

 Comment: 1","Exact: shopkeeper;

 Comment: 1","Exact: ""K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

 Comment: 2",NA,NA,Don't know,"Exact: Jordan Campbell was the applicant's half-brother;

 Comment: 1 victim"
VicSex Victim(s) Gender,All Male/All Female/Male&Female,VicSex,NA,NA,NA,"Exact: daughter;

 Comment: All female",,"Exact: Peter Wheatcroft;

 Comment: All Male","Exact: two men;

 Comment: All Male","Exact: Mr Walls;

 Comment: All Male","Exact: 4. We turn to the facts. The facts relating to offence 1 are these. Lynne O'Connell, who ran a business called RSVP from her home, engaged some casual Christmas staff in 2006. This included the appellant, who is a son of a friend of hers. The work entailed being mainly in the outbuilding of her house, but the staff were allowed into the house to use the lavatory and kitchen. On 14 December 2006 the appellant went into an area of the house where he was not permitted to be. He stole £400 in Swiss francs from a little box where they were kept.5. The appellant attended court in respect of this matter on 12 January 2007. However, in the meantime, on 3 January he took from his mother's handbag £20 and the keys to her safe (offence 2). He then took her car keys from the safe, drove the car to a public house, parked it and smashed its window to make it look as if somebody else had taken the car (offence 3). He was also charged with having no licence and no insurance on that occasion (offences 4 and 5). It seems that he has never had a licence of any description. The print-out from the DVLC came back as ""no trace"", despite his having had six penalty points imposed on him in respect of a previous offence of driving without insurance.6. On 8 September 2007 the appellant attempted a burglary at 33 Potter's Crescent, Ash. He did not manage to complete that offence because he was heard damaging the patio doors which he had forced open at the rear (offence 9). He then went into 31 Chester Road, where the door was open as people were coming and going (offence 6). He stole car keys and then took a Ford Focus car (offence 8). A postman saw the appellant behaving oddly. The vehicle was found in the street in a damaged condition. 7. Having left the Ford Focus, the appellant went on to a house called ""Aniryss"" at Thunder Hill (offence 7). He took a Volvo from outside that house. The Volvo had a Tracker fitted which enabled the police to work out where he was. He drove the vehicle into a police car, got out and ran away (offences 10, 12 and 13). He was seen by an off-duty police officer who managed to trap him in a garage. The appellant assaulted the police officer with intent to resist arrest by picking up a trowel which was in the garage and hitting the officer in the face with it (offence 11).;

 Comment: Male & Female","Exact: Mr and Mrs Chowdhery;

 Comment: Male & Female","Exact: young woman called L;

 Comment: All Female","Exact: teenage boys;

 Comment: All Male","Exact: Fiza Asif (Arshad's wife);

 Comment: All Female",Don't know,"Exact: Karen Price;

 Comment: All Female","Exact: him;

 Comment: All Male","Exact: K"" and the victim of the assault by beating was her seven-year-old daughter ""L"";

 Comment: All Female",NA,NA,Don't know,"Exact: Jordan Campbell;

 Comment: All Male"
