publicationYear,citation,uri,row_id
2011,[2011] EWCA Crim 1183,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1183,4052
2012,[2012] EWCA Crim 10,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/10,4679
2013,[2013] EWCA Crim 591,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/591,3333
2014,[2014] EWCA Crim 945,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/945,1729
2015,[2015] EWCA Crim 353,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/353,2346
2016,[2016] EWCA Crim 1517,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/1517,5448
2017,[2017] EWCA Crim 106,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/106,5746
2018,[2018] EWCA Crim 903,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/903,3600
2019,[2019] EWCA Crim 1570,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1570,3209
2020,[2020] EWCA Crim 147,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/147,5848
2021,[2021] EWCA Crim 224,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/224,4876
2022,[2022] EWCA Crim 1158,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1158,5587
2023,[2023] EWCA Crim 1477,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1477,3387
2024,[2024] EWCA Crim 292,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/292,2581
2003,[2003] EWCA Crim 2957,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2957,4029
2004,[2004] EWCA Crim 599,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/599,5703
2005,[2005] EWCA Crim 3093,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/3093,907
2006,[2006] EWCA Crim 2924,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/2924,2936
2007,[2007] EWCA Crim 3027,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/3027,2783
2008,[2008] EWCA Crim 855,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/855,4707
2009,[2009] EWCA Crim 1612,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/1612,4655
2010,[2010] EWCA Crim 315,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/315,3814
2011,[2011] EWCA Crim 459,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/459,3867
2012,[2012] EWCA Crim 3039,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/3039,2688
2013,[2013] EWCA Crim 2420,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/2420,1866
2014,[2014] EWCA Crim 717,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/717,5272
2015,[2015] EWCA Crim 1911,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1911,1633
2016,[2016] EWCA Crim 673,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/673,3131
2017,[2017] EWCA Crim 2061,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/2061,2137
2018,[2018] EWCA Crim 320,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/320,2775
2019,[2019] EWCA Crim 1575,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1575,3561
2020,[2020] EWCA Crim 1719,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1719,2185
2021,[2021] EWCA Crim 597,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/597,2638
2022,[2022] EWCA Crim 365,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/365,1251
2023,[2023] EWCA Crim 1204,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1204,5847
2024,[2024] EWCA Crim 473,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/473,2134
2003,[2003] EWCA Crim 1555,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/1555,406
2004,[2004] EWCA Crim 2237,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/2237,107
2005,[2005] EWCA Crim 1089,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1089,5998
2006,[2006] EWCA Crim 3063,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/3063,3295
2007,[2007] EWCA Crim 1913,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/1913,3205
2008,[2008] EWCA Crim 1034,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1034,2777
2009,[2009] EWCA Crim 2355,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/2355,3039
2010,[2010] EWCA Crim 1403,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/1403,5100
2011,[2011] EWCA Crim 461,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/461,1122
2012,[2012] EWCA Crim 539,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/539,3880
2013,[2013] EWCA Crim 501,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/501,3481
2014,[2014] EWCA Crim 333,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/333,4873
2015,[2015] EWCA Crim 952,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/952,5785
2016,[2016] EWCA Crim 561,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/561,1263
2017,[2017] EWCA Crim 36,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/36,5666
2018,[2018] EWCA Crim 1473,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1473,2031
2019,[2019] EWCA Crim 1628,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1628,1580
2020,[2020] EWCA Crim 1433,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1433,5396
2021,[2021] EWCA Crim 798,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/798,3835
2022,[2022] EWCA Crim 1437,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1437,5643
2023,[2023] EWCA Crim 658,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/658,3612
2024,[2024] EWCA Crim 212,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/212,4890
2003,[2003] EWCA Crim 3003,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/3003,2648
2004,[2004] EWCA Crim 3380,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/3380,2330
2005,[2005] EWCA Crim 2347,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2347,5274
2006,[2006] EWCA Crim 2512,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/2512,1155
2007,[2007] EWCA Crim 234,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/234,1282
2008,[2008] EWCA Crim 1308,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1308,3907
2009,[2009] EWCA Crim 880,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/880,3903
2010,[2010] EWCA Crim 1858,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/1858,2369
2011,[2011] EWCA Crim 73,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/73,1985
2012,[2012] EWCA Crim 1870,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1870,1220
2013,[2013] EWCA Crim 2287,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/2287,1780
2014,[2014] EWCA Crim 836,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/836,261
2015,[2015] EWCA Crim 906,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/906,3964
2016,[2016] EWCA Crim 2228,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/2228,1608
2017,[2017] EWCA Crim 849,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/849,1230
2018,[2018] EWCA Crim 2895,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/2895,4917
2019,[2019] EWCA Crim 296,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/296,250
2020,[2020] EWCA Crim 1266,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1266,1428
2021,[2021] EWCA Crim 1720,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/1720,1427
2022,[2022] EWCA Crim 400,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/400,3167
2023,[2023] EWCA Crim 1679,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1679,4019
2024,[2024] EWCA Crim 231,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/231,4604
2003,[2003] EWCA Crim 680,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/680,634
2004,[2004] EWCA Crim 1470,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/1470,667
2005,[2005] EWCA Crim 392,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/392,3831
2006,[2006] EWCA Crim 1679,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/1679,3135
2007,[2007] EWCA Crim 2322,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2322,2977
2008,[2008] EWCA Crim 541,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/541,2591
2009,[2009] EWCA Crim 1942,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/1942,2910
2010,[2010] EWCA Crim 4,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/4,3408
2011,[2011] EWCA Crim 2651,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/2651,3460
2012,[2012] EWCA Crim 2211,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/2211,3490
2013,[2013] EWCA Crim 502,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/502,1185
2014,[2014] EWCA Crim 747,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/747,904
2015,[2015] EWCA Crim 1079,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1079,448
2016,[2016] EWCA Crim 92,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/92,898
2017,[2017] EWCA Crim 32,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/32,3510
2018,[2018] EWCA Crim 1077,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1077,5311
2019,[2019] EWCA Crim 1094,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1094,2061
2020,[2020] EWCA Crim 820,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/820,4214
2021,[2021] EWCA Crim 1561,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/1561,3231
2022,[2022] EWCA Crim 1254,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1254,5748
2023,[2023] EWCA Crim 181,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/181,2183
2024,[2024] EWCA Crim 104,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/104,590
2003,[2003] EWCA Crim 2196,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/2196,2828
2004,[2004] EWCA Crim 2907,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/2907,2927
2005,[2005] EWCA Crim 2909,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/2909,1565
2006,[2006] EWCA Crim 2570,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/2570,2300
2007,[2007] EWCA Crim 2787,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/2787,2015
2008,[2008] EWCA Crim 2019,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/2019,5008
2009,[2009] EWCA Crim 2322,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/2322,4932
2010,[2010] EWCA Crim 1149,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/1149,1894
2011,[2011] EWCA Crim 1130,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1130,1924
2012,[2012] EWCA Crim 136,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/136,5817
2013,[2013] EWCA Crim 569,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/569,2565
2014,[2014] EWCA Crim 1243,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1243,5559
2015,[2015] EWCA Crim 1791,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1791,3589
2016,[2016] EWCA Crim 1746,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/1746,5269
2017,[2017] EWCA Crim 37,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/37,5838
2018,[2018] EWCA Crim 1384,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/1384,85
2019,[2019] EWCA Crim 520,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/520,5861
2020,[2020] EWCA Crim 1662,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1662,4219
2021,[2021] EWCA Crim 1944,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/1944,5854
2022,[2022] EWCA Crim 456,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/456,249
2023,[2023] EWCA Crim 1236,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1236,4006
2024,[2024] EWCA Crim 490,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/490,4007
2003,[2003] EWCA Crim 3214,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/3214,469
2004,[2004] EWCA Crim 2100,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/2100,5658
2005,[2005] EWCA Crim 3692,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/3692,2624
2006,[2006] EWCA Crim 270,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/270,4589
2007,[2007] EWCA Crim 205,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/205,4294
2008,[2008] EWCA Crim 248,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/248,48
2009,[2009] EWCA Crim 733,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/733,81
2010,[2010] EWCA Crim 2422,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/2422,4820
2011,[2011] EWCA Crim 939,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/939,5760
2012,[2012] EWCA Crim 1717,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1717,3413
2013,[2013] EWCA Crim 773,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/773,162
2014,[2014] EWCA Crim 1555,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/1555,4091
2015,[2015] EWCA Crim 1123,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1123,3900
2016,[2016] EWCA Crim 1321,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/1321,3053
2017,[2017] EWCA Crim 822,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/822,52
2018,[2018] EWCA Crim 691,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/691,2352
2019,[2019] EWCA Crim 1464,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1464,5129
2020,[2020] EWCA Crim 482,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/482,153
2021,[2021] EWCA Crim 318,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/318,3150
2022,[2022] EWCA Crim 1548,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/1548,3775
2023,[2023] EWCA Crim 315,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/315,86
2024,[2024] EWCA Crim 88,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/88,4114
2003,[2003] EWCA Crim 3182,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/3182,6054
2004,[2004] EWCA Crim 621,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/621,5961
2005,[2005] EWCA Crim 1722,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/1722,3899
2006,[2006] EWCA Crim 69,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/69,1802
2007,[2007] EWCA Crim 3021,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/3021,1702
2008,[2008] EWCA Crim 1863,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/1863,2939
2009,[2009] EWCA Crim 2182,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/2182,3174
2010,[2010] EWCA Crim 2300,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/2300,3701
2011,[2011] EWCA Crim 1235,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/1235,1788
2012,[2012] EWCA Crim 794,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/794,4032
2013,[2013] EWCA Crim 261,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/261,6072
2014,[2014] EWCA Crim 421,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/421,939
2015,[2015] EWCA Crim 305,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/305,327
2016,[2016] EWCA Crim 11,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/11,4866
2017,[2017] EWCA Crim 2508,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/2508,1726
2018,[2018] EWCA Crim 2872,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/2872,2875
2019,[2019] EWCA Crim 2332,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/2332,2600
2020,[2020] EWCA Crim 47,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/47,5867
2021,[2021] EWCA Crim 564,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/564,4068
2022,[2022] EWCA Crim 433,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/433,4823
2023,[2023] EWCA Crim 661,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/661,3312
2024,[2024] EWCA Crim 103,https://caselaw.nationalarchives.gov.uk/ewca/crim/2024/103,426
2003,[2003] EWCA Crim 1008,https://caselaw.nationalarchives.gov.uk/ewca/crim/2003/1008,3790
2004,[2004] EWCA Crim 2674,https://caselaw.nationalarchives.gov.uk/ewca/crim/2004/2674,2907
2005,[2005] EWCA Crim 112,https://caselaw.nationalarchives.gov.uk/ewca/crim/2005/112,1426
2006,[2006] EWCA Crim 1926,https://caselaw.nationalarchives.gov.uk/ewca/crim/2006/1926,1515
2007,[2007] EWCA Crim 926,https://caselaw.nationalarchives.gov.uk/ewca/crim/2007/926,1465
2008,[2008] EWCA Crim 531,https://caselaw.nationalarchives.gov.uk/ewca/crim/2008/531,3713
2009,[2009] EWCA Crim 549,https://caselaw.nationalarchives.gov.uk/ewca/crim/2009/549,3800
2010,[2010] EWCA Crim 970,https://caselaw.nationalarchives.gov.uk/ewca/crim/2010/970,5362
2011,[2011] EWCA Crim 2991,https://caselaw.nationalarchives.gov.uk/ewca/crim/2011/2991,3622
2012,[2012] EWCA Crim 1785,https://caselaw.nationalarchives.gov.uk/ewca/crim/2012/1785,350
2013,[2013] EWCA Crim 326,https://caselaw.nationalarchives.gov.uk/ewca/crim/2013/326,5302
2014,[2014] EWCA Crim 414,https://caselaw.nationalarchives.gov.uk/ewca/crim/2014/414,5387
2015,[2015] EWCA Crim 1515,https://caselaw.nationalarchives.gov.uk/ewca/crim/2015/1515,154
2016,[2016] EWCA Crim 599,https://caselaw.nationalarchives.gov.uk/ewca/crim/2016/599,499
2017,[2017] EWCA Crim 1466,https://caselaw.nationalarchives.gov.uk/ewca/crim/2017/1466,1966
2018,[2018] EWCA Crim 2693,https://caselaw.nationalarchives.gov.uk/ewca/crim/2018/2693,1373
2019,[2019] EWCA Crim 1090,https://caselaw.nationalarchives.gov.uk/ewca/crim/2019/1090,4654
2020,[2020] EWCA Crim 1345,https://caselaw.nationalarchives.gov.uk/ewca/crim/2020/1345,2554
2021,[2021] EWCA Crim 659,https://caselaw.nationalarchives.gov.uk/ewca/crim/2021/659,864
2022,[2022] EWCA Crim 478,https://caselaw.nationalarchives.gov.uk/ewca/crim/2022/478,3839
2023,[2023] EWCA Crim 1280,https://caselaw.nationalarchives.gov.uk/ewca/crim/2023/1280,3944
